Evaporation,Sunshine,WindGustSpeed,Humidity3pm,Pressure,Cloud3pm,Temp3pm,RainToday,RainTomorrow
,,44.0,44.0,1013.8,,22.0,Yes,No
13.2,11.4,65.0,12.0,1009.25,2.0,36.8,No,No
,,43.0,49.0,1024.3000000000002,,23.8,No,No
,,48.0,47.0,1017.45,8.0,12.6,No,No
1.4,9.0,,56.0,1022.3,3.0,18.8,No,No
11.6,6.5,98.0,35.0,998.55,8.0,18.8,No,No
0.8,0.1,26.0,74.0,1022.7,7.0,15.1,Yes,No
,,35.0,69.0,1015.55,,27.6,No,No
8.6,5.5,,58.0,1007.05,5.0,32.3,No,No
,,9.0,52.0,1018.5999999999999,,13.3,No,No
8.8,10.4,37.0,49.0,1006.1500000000001,7.0,32.8,No,No
8.0,,37.0,22.0,1012.4,2.0,30.9,No,No
12.0,10.5,43.0,24.0,1015.2,7.0,30.1,No,No
,,26.0,68.0,1018.3,,17.3,No,No
1.2,1.2,35.0,70.0,1011.35,5.0,11.1,No,No
8.8,12.1,54.0,47.0,1018.95,1.0,27.8,No,No
5.6,10.2,30.0,59.0,1019.05,2.0,25.7,No,No
,,37.0,61.0,1026.7,,16.7,Yes,No
3.0,9.4,44.0,63.0,1012.2,,14.7,Yes,No
5.8,9.4,37.0,16.0,1017.3,7.0,29.3,No,No
,,35.0,63.0,1014.05,,14.2,Yes,No
,,30.0,63.0,1026.1999999999998,1.0,16.0,No,No
,,33.0,12.0,1018.25,,26.8,No,No
,,37.0,39.0,,,27.0,No,No
4.0,10.2,41.0,26.0,1017.45,1.0,17.6,No,No
7.2,12.7,50.0,39.0,1015.9,1.0,23.0,No,No
,,33.0,43.0,1025.65,,21.7,No,No
0.6,7.1,24.0,69.0,1033.75,7.0,11.4,No,No
20.0,7.7,52.0,23.0,1008.5999999999999,1.0,26.5,No,No
2.2,,35.0,48.0,1023.85,3.0,11.1,No,No
,,26.0,57.0,1027.4499999999998,,16.4,No,No
,,63.0,38.0,1008.3499999999999,6.0,17.8,No,No
18.0,11.6,50.0,10.0,1007.5999999999999,1.0,42.0,No,No
,,,69.0,,6.0,18.0,No,No
,,43.0,70.0,1024.25,,19.8,Yes,No
,,46.0,38.0,1015.3,,26.7,No,No
3.2,2.8,39.0,71.0,1011.6,8.0,19.8,Yes,No
4.0,,28.0,5.0,1018.3499999999999,0.0,26.4,No,No
4.4,7.1,48.0,39.0,1017.15,7.0,24.2,No,No
9.2,11.8,33.0,18.0,1011.55,1.0,25.7,No,No
14.0,,44.0,,1012.0,,23.4,No,No
3.6,9.1,28.0,41.0,1028.6,1.0,16.3,No,No
6.2,8.7,,64.0,1017.35,1.0,19.6,No,No
6.6,,52.0,45.0,1014.3,4.0,22.2,No,No
3.4,9.3,85.0,28.0,1001.45,,15.2,No,No
2.4,7.8,50.0,65.0,1026.0,6.0,17.0,Yes,No
,,41.0,36.0,1021.7,,18.6,No,No
1.2,5.8,31.0,42.0,1024.65,3.0,10.6,No,No
1.8,7.8,13.0,64.0,1021.55,7.0,23.4,No,No
,4.8,37.0,69.0,1023.1500000000001,7.0,18.9,Yes,No
1.2,6.9,39.0,42.0,1016.5999999999999,3.0,16.2,Yes,No
6.0,,31.0,,1018.75,5.0,16.9,No,No
5.6,9.9,52.0,31.0,1015.9,2.0,19.5,Yes,No
5.6,8.9,22.0,61.0,1015.3499999999999,3.0,30.3,No,No
,,39.0,44.0,1020.3499999999999,,18.9,No,No
14.2,8.2,59.0,12.0,1016.7,0.0,37.9,No,No
,,41.0,65.0,,,7.8,No,No
7.4,11.3,44.0,51.0,1012.45,2.0,29.1,No,No
,,43.0,60.0,,,26.6,No,No
7.6,12.1,54.0,20.0,1009.1,6.0,26.9,No,No
,,52.0,54.0,1015.15,,11.6,No,No
,,37.0,34.0,1007.35,1.0,31.8,No,No
3.0,10.0,33.0,38.0,1024.45,2.0,17.1,No,No
2.8,7.4,,68.0,1018.0,7.0,16.1,Yes,No
,,54.0,64.0,,,14.2,No,No
1.2,7.3,22.0,62.0,1015.4,2.0,18.4,Yes,No
,,28.0,56.0,1013.6,,15.9,No,No
8.0,11.1,30.0,46.0,1016.0999999999999,1.0,19.6,No,No
,,20.0,54.0,1030.3000000000002,,14.5,No,No
4.0,9.9,39.0,41.0,1021.5999999999999,2.0,23.3,No,No
3.2,,39.0,51.0,1018.4,8.0,15.5,Yes,No
,,39.0,30.0,,,30.6,No,No
,,30.0,34.0,1024.4499999999998,,21.5,No,No
,,46.0,42.0,1009.4,,26.6,No,No
18.2,9.9,61.0,27.0,1010.85,1.0,28.0,No,No
10.4,10.6,50.0,14.0,1019.05,6.0,24.6,No,No
,,24.0,57.0,,,21.1,No,No
4.0,,20.0,35.0,1008.75,7.0,37.0,No,No
5.8,8.2,30.0,34.0,1020.75,4.0,23.6,No,No
4.2,11.5,41.0,42.0,1016.4000000000001,,23.6,No,No
8.0,11.7,43.0,45.0,1016.55,1.0,25.2,No,No
,,35.0,26.0,1002.3499999999999,4.0,37.8,No,No
,,,48.0,1014.25,,19.7,No,No
,,41.0,29.0,1016.6,,27.5,No,No
,,20.0,79.0,1025.45,,8.7,No,No
,,35.0,38.0,1022.9,,20.9,No,No
,,33.0,41.0,1022.8499999999999,,15.1,No,No
7.2,12.5,,60.0,1013.7,0.0,24.4,No,No
3.8,9.7,41.0,29.0,1022.8,7.0,15.7,No,No
8.0,13.0,41.0,19.0,1022.45,1.0,34.2,No,No
,,35.0,58.0,1023.65,6.0,18.3,No,No
,,57.0,69.0,,,0.9,Yes,No
,,35.0,79.0,,,7.1,No,No
,13.2,43.0,11.0,1009.5999999999999,,39.3,No,No
,4.3,35.0,51.0,1019.8,6.0,21.2,No,No
0.8,9.3,30.0,65.0,1023.25,3.0,18.8,No,No
4.0,,35.0,,1009.7,3.0,35.0,No,No
,,54.0,61.0,1011.35,,29.5,No,No
,,48.0,42.0,1022.05,,12.1,No,No
5.8,9.8,35.0,25.0,1015.3499999999999,4.0,26.2,No,No
5.6,10.6,30.0,27.0,1017.35,1.0,28.1,No,No
1.4,3.4,24.0,56.0,1024.1,7.0,19.7,Yes,No
,,22.0,39.0,1016.5,,18.9,No,No
15.2,12.5,35.0,8.0,1015.7,2.0,39.3,No,No
2.0,,19.0,58.0,1023.6500000000001,,14.0,No,No
,,20.0,55.0,,,6.9,No,No
1.6,6.7,26.0,59.0,1014.55,,16.0,No,No
10.6,13.0,35.0,19.0,1016.45,6.0,29.0,No,No
,,,41.0,,6.0,15.0,Yes,No
4.0,12.2,61.0,69.0,1012.05,1.0,25.2,No,No
3.6,5.2,39.0,34.0,1016.65,6.0,23.2,No,No
,,28.0,47.0,1014.8,,25.8,No,No
,,26.0,56.0,1020.95,,11.5,No,No
,,56.0,57.0,1009.5,8.0,14.7,No,No
5.2,10.9,28.0,51.0,1013.6,1.0,27.6,No,No
,,37.0,50.0,,,21.8,No,No
3.8,6.3,28.0,60.0,1018.55,6.0,21.6,Yes,No
,,37.0,37.0,,,18.1,Yes,No
6.6,9.1,26.0,71.0,1006.1500000000001,4.0,30.6,No,No
8.6,12.6,35.0,34.0,1015.05,5.0,32.3,No,No
0.8,7.4,41.0,52.0,1018.5,7.0,17.6,No,No
5.0,6.2,39.0,55.0,1028.4499999999998,2.0,19.5,No,No
,,41.0,67.0,1017.95,2.0,28.1,No,No
7.2,,26.0,7.0,1012.0999999999999,0.0,29.7,No,No
,,31.0,49.0,1011.55,,22.9,No,No
,,52.0,17.0,,,33.6,No,No
6.4,10.9,31.0,43.0,1013.3,,25.1,No,No
5.4,,35.0,64.0,1012.9000000000001,1.0,30.1,Yes,No
,,43.0,6.0,1017.6,,29.1,No,No
15.0,13.3,52.0,10.0,1012.5,0.0,33.5,No,No
9.0,10.0,28.0,23.0,1017.75,1.0,19.7,No,No
6.2,10.0,33.0,40.0,1016.4,1.0,18.8,No,No
4.0,,31.0,,1010.4000000000001,,,No,No
7.2,12.8,44.0,41.0,1019.75,1.0,31.8,No,No
,,30.0,65.0,1014.35,,24.8,No,No
,,57.0,50.0,,,25.2,No,No
8.0,,,,1016.35,0.0,30.5,No,No
8.4,,,13.0,1015.2,1.0,31.0,No,No
,,30.0,39.0,1021.6,,16.5,No,No
8.0,8.3,43.0,30.0,1013.45,4.0,17.9,No,No
8.6,2.3,31.0,48.0,1023.9499999999999,7.0,21.1,No,No
,,26.0,32.0,1028.35,,18.9,No,No
,,,66.0,,6.0,19.2,Yes,No
,,39.0,28.0,1020.2,,22.4,No,No
8.8,11.2,26.0,46.0,1010.5,1.0,32.7,No,No
,,39.0,65.0,1022.55,4.0,12.3,No,No
,,37.0,38.0,,,28.3,Yes,No
,,30.0,84.0,1007.4000000000001,,21.1,Yes,No
1.4,10.5,44.0,40.0,1029.35,2.0,18.5,No,No
12.8,,26.0,13.0,1009.4,0.0,38.0,No,No
1.0,8.6,20.0,46.0,1025.55,2.0,12.7,No,No
,,30.0,36.0,,,21.9,No,No
,,54.0,47.0,,,17.4,Yes,No
3.8,6.0,43.0,43.0,1028.95,6.0,13.9,No,No
12.0,13.2,41.0,10.0,1021.9,1.0,27.3,No,No
,,9.0,69.0,1026.5,,11.1,No,No
2.0,4.3,,72.0,1027.55,7.0,16.2,No,No
,,17.0,51.0,1033.3,,20.0,No,No
6.4,12.5,30.0,16.0,1014.55,4.0,29.0,No,No
4.0,13.4,39.0,59.0,1020.85,,19.7,No,No
6.2,10.5,33.0,55.0,1010.5,3.0,31.5,No,No
,,48.0,36.0,1017.5,,23.4,No,No
,,39.0,53.0,1013.25,,22.9,No,No
,,28.0,49.0,1022.6500000000001,,23.7,No,No
,,50.0,75.0,1004.1,,15.7,No,No
,,39.0,75.0,1022.75,1.0,13.8,Yes,No
5.0,6.1,52.0,21.0,1013.8499999999999,6.0,30.3,No,No
,,,46.0,,1.0,26.5,No,No
,,28.0,60.0,1021.2,,18.3,No,No
,,28.0,33.0,1019.25,,19.9,No,No
9.4,9.3,56.0,32.0,1009.5,7.0,33.5,No,No
,9.2,24.0,34.0,1022.2,0.0,19.6,No,No
5.6,11.1,43.0,41.0,1014.5,5.0,21.9,No,No
,9.5,41.0,51.0,1030.85,,18.9,No,No
5.2,9.9,35.0,51.0,1020.95,3.0,17.2,No,No
,,30.0,54.0,,,28.0,No,No
,,57.0,39.0,1020.3,3.0,17.2,No,No
,,28.0,55.0,1015.95,,22.6,No,No
,,28.0,57.0,1021.5,,19.4,No,No
8.8,10.4,39.0,34.0,1009.9,1.0,25.5,No,No
6.4,,30.0,,1007.9000000000001,,,No,No
2.2,11.0,26.0,34.0,1026.35,1.0,19.3,No,No
,,31.0,60.0,,,16.8,No,No
5.4,10.3,30.0,40.0,1018.9,5.0,28.1,No,No
,,,62.0,,4.0,18.4,Yes,No
4.8,10.8,24.0,54.0,1018.0,3.0,27.7,No,No
10.4,2.6,57.0,51.0,1009.4,7.0,31.6,No,No
,,31.0,64.0,1029.8000000000002,,14.3,No,No
7.8,4.7,63.0,47.0,1012.1500000000001,,22.4,No,No
1.8,1.8,35.0,53.0,1028.6,6.0,15.4,Yes,No
,,35.0,65.0,1021.15,,19.0,No,No
2.2,8.5,,53.0,1024.65,7.0,20.7,No,No
2.2,10.5,28.0,31.0,1028.5500000000002,1.0,19.6,No,No
8.6,4.8,37.0,36.0,1013.4,7.0,30.2,No,No
,,,99.0,,,14.4,No,No
,,39.0,12.0,,,31.6,No,No
1.1,1.2,26.0,63.0,1029.6,5.0,13.6,No,No
2.6,5.0,39.0,59.0,1023.25,6.0,17.9,Yes,No
1.8,,24.0,68.0,1011.3,,24.4,No,No
7.8,,54.0,15.0,1016.75,0.0,26.2,No,No
3.2,9.3,24.0,35.0,1021.8,4.0,25.8,No,No
5.0,11.0,33.0,32.0,1012.35,1.0,29.8,No,No
,,26.0,24.0,1015.2,,27.7,No,No
,,50.0,41.0,,3.0,20.5,Yes,No
4.0,7.1,,69.0,1015.5999999999999,5.0,18.2,No,No
6.4,12.8,31.0,44.0,1022.75,2.0,22.2,No,No
1.8,7.9,24.0,35.0,1029.4,3.0,20.7,No,No
,,41.0,64.0,1013.4,,26.9,No,No
,,28.0,50.0,1020.6,,18.0,No,No
5.0,9.6,35.0,56.0,1011.0999999999999,2.0,30.4,No,No
,10.2,28.0,46.0,1022.7,3.0,16.4,Yes,No
7.4,4.3,28.0,23.0,1011.65,,34.1,No,No
9.2,10.1,35.0,22.0,1017.5,7.0,32.2,No,No
,,35.0,38.0,1023.3499999999999,,15.2,No,No
0.4,5.4,44.0,73.0,1021.2,6.0,13.6,Yes,No
,,33.0,62.0,1020.7,,16.1,No,No
,,33.0,71.0,1015.95,1.0,22.6,No,No
12.0,9.1,109.0,43.0,1000.75,6.0,15.0,No,No
8.8,10.0,33.0,51.0,1015.0999999999999,1.0,26.8,No,No
5.2,12.7,33.0,14.0,1016.25,3.0,26.3,No,No
2.8,10.3,,34.0,1022.0999999999999,2.0,18.8,No,No
,,31.0,34.0,,,25.7,No,No
7.8,7.8,43.0,39.0,1017.3,6.0,27.8,No,No
5.2,7.4,39.0,43.0,1011.1,6.0,23.8,No,No
,,,,,,,Yes,No
,,28.0,47.0,,,29.9,No,No
9.8,9.7,31.0,58.0,1015.25,4.0,23.3,No,No
8.8,6.0,,44.0,1005.45,7.0,31.0,No,No
,,39.0,53.0,1026.35,,20.9,No,No
2.2,9.1,,65.0,1022.6,3.0,16.5,No,No
24.4,,57.0,77.0,1012.65,7.0,24.2,Yes,No
,,89.0,35.0,1010.3,,19.9,No,No
,,39.0,40.0,1017.5,,30.5,No,No
,,15.0,81.0,1028.3000000000002,6.0,10.6,No,No
,,46.0,20.0,1013.95,,32.9,No,No
,,24.0,71.0,1023.2,4.0,20.3,No,No
,,37.0,65.0,1012.0,,16.7,No,No
,,61.0,64.0,,,16.1,Yes,No
,,44.0,44.0,1011.5999999999999,,19.3,Yes,No
,,37.0,33.0,1013.45,,22.8,No,No
2.0,6.9,35.0,42.0,1020.2,7.0,26.5,Yes,No
6.8,11.0,56.0,48.0,1024.05,5.0,15.0,No,No
,,31.0,42.0,,,23.3,No,No
4.8,8.7,52.0,86.0,1008.0,7.0,15.1,Yes,No
7.2,,44.0,37.0,1007.2,3.0,34.4,No,No
,,,55.0,,1.0,25.5,No,No
,,39.0,19.0,1019.95,,24.8,No,No
5.6,8.2,46.0,60.0,1015.8,5.0,16.4,Yes,No
15.0,,44.0,3.0,1007.1500000000001,,38.9,No,No
9.8,6.8,52.0,56.0,1008.8499999999999,7.0,33.3,No,No
1.8,6.8,37.0,66.0,1012.0,3.0,23.4,No,No
4.0,11.0,41.0,36.0,1026.25,2.0,23.7,No,No
,,44.0,14.0,1007.95,,39.5,No,No
2.2,10.1,48.0,37.0,1014.6,2.0,16.3,No,No
,,28.0,45.0,1029.4499999999998,,19.9,No,No
,,28.0,53.0,1013.5,,19.3,No,No
3.8,8.6,52.0,43.0,1023.8499999999999,2.0,17.0,Yes,No
2.8,9.7,22.0,60.0,1020.9000000000001,6.0,24.8,No,No
,,35.0,48.0,1017.6500000000001,,18.6,No,No
,,50.0,47.0,1017.2,3.0,20.3,No,No
5.4,,54.0,38.0,1002.15,1.0,30.9,No,No
,,26.0,71.0,1022.1500000000001,,13.7,Yes,No
,,28.0,52.0,1020.95,7.0,14.7,No,No
8.4,11.5,31.0,47.0,1016.3,1.0,26.2,No,No
,,19.0,50.0,1024.45,,16.5,No,No
18.0,11.0,74.0,9.0,1007.1500000000001,2.0,36.3,No,No
4.6,2.3,,68.0,1017.2,7.0,19.3,No,No
11.6,12.6,48.0,11.0,1004.8499999999999,3.0,40.4,No,No
5.0,10.5,33.0,46.0,1015.0,1.0,26.8,Yes,No
7.2,10.9,20.0,,1017.05,1.0,,No,No
6.4,8.6,28.0,49.0,1018.4,3.0,23.3,No,No
4.0,8.6,28.0,32.0,1019.75,5.0,26.3,No,No
,,,,,,,No,No
,,89.0,67.0,1008.5,6.0,15.6,Yes,No
,,26.0,58.0,1033.55,,18.3,No,No
,,46.0,27.0,1017.35,,20.8,No,No
,,20.0,59.0,,,12.1,Yes,No
7.6,11.9,30.0,54.0,1010.85,7.0,29.8,No,No
,,39.0,66.0,1020.15,,22.9,No,No
,,46.0,58.0,,,9.8,No,No
1.0,8.1,17.0,44.0,1022.55,1.0,17.2,No,No
6.8,10.5,44.0,38.0,1018.05,6.0,27.5,No,No
,,17.0,74.0,1019.2,,13.9,No,No
,,48.0,95.0,1015.35,8.0,8.7,No,No
3.4,9.3,93.0,28.0,1001.7,3.0,15.7,Yes,No
4.0,10.9,20.0,47.0,1030.0500000000002,1.0,20.2,No,No
,,41.0,25.0,,,28.2,No,No
3.6,1.0,28.0,64.0,1013.95,7.0,14.2,No,No
1.0,2.1,50.0,74.0,1017.2,7.0,15.7,No,No
2.4,,35.0,51.0,1010.9,1.0,16.8,Yes,No
,,35.0,30.0,1014.6500000000001,,23.2,No,No
1.0,9.9,26.0,47.0,1021.25,3.0,23.9,Yes,No
5.0,11.3,50.0,37.0,1014.2,2.0,21.6,Yes,No
3.8,,44.0,27.0,1018.5999999999999,,24.1,No,No
,,46.0,45.0,,8.0,21.1,No,No
3.0,9.5,39.0,22.0,1013.6500000000001,6.0,29.9,No,No
4.4,10.7,31.0,60.0,1014.55,2.0,27.3,No,No
,,30.0,24.0,1021.8,,20.5,No,No
3.2,10.6,28.0,39.0,1024.95,2.0,20.2,No,No
1.6,0.0,37.0,92.0,1019.95,8.0,17.3,Yes,No
,,39.0,25.0,1017.5,1.0,23.5,No,No
,,41.0,57.0,,,10.1,No,No
,,31.0,52.0,1017.2,,18.2,No,No
3.6,9.4,44.0,46.0,1020.05,3.0,18.3,Yes,No
13.4,13.7,44.0,1.0,1009.75,1.0,32.0,No,No
,,20.0,30.0,,,34.2,No,No
6.2,12.8,31.0,13.0,1021.9499999999999,,28.6,No,No
,,54.0,12.0,1010.0,,38.8,No,No
2.8,,39.0,65.0,1014.95,8.0,18.8,No,No
4.4,13.6,41.0,30.0,1020.85,1.0,21.9,No,No
1.8,8.8,24.0,35.0,1017.05,6.0,21.2,No,No
,,48.0,57.0,1024.1,,19.9,No,No
0.8,1.3,20.0,63.0,1028.9499999999998,7.0,11.5,No,No
,,31.0,34.0,,,23.3,No,No
2.0,,19.0,53.0,1017.35,,19.8,No,No
0.0,0.2,19.0,56.0,1019.45,,12.8,No,No
,,44.0,12.0,,,28.0,No,No
,,20.0,61.0,,,23.5,Yes,No
4.0,9.5,50.0,36.0,1017.0,,20.4,No,No
3.6,10.2,35.0,21.0,1019.45,0.0,26.6,No,No
0.4,4.0,50.0,73.0,1013.7,7.0,13.0,Yes,No
0.8,1.2,28.0,64.0,1018.7,7.0,16.2,Yes,No
1.8,,,57.0,,,21.8,No,No
1.0,0.7,43.0,65.0,1021.6,8.0,14.5,No,No
7.0,4.8,54.0,64.0,1010.55,,26.3,No,No
5.2,10.4,20.0,56.0,1016.6,4.0,25.6,No,No
0.4,0.1,20.0,64.0,1031.25,7.0,12.7,No,No
3.6,11.3,54.0,50.0,1018.9000000000001,3.0,22.9,No,No
7.8,,56.0,25.0,1015.9,2.0,14.0,No,No
2.6,,,58.0,,,12.1,No,No
,,28.0,42.0,1016.85,,22.0,No,No
4.6,12.1,35.0,46.0,1008.5,1.0,24.2,No,No
,,54.0,63.0,1018.0,,24.0,No,No
10.0,11.0,48.0,8.0,1007.95,2.0,34.7,No,No
7.8,8.2,28.0,44.0,1008.6,5.0,29.4,Yes,No
5.2,7.5,33.0,60.0,1014.85,4.0,25.0,Yes,No
,8.4,30.0,36.0,1019.45,,23.1,No,No
7.8,5.9,35.0,46.0,1015.25,6.0,17.5,No,No
6.6,11.4,43.0,53.0,1013.2,4.0,27.2,No,No
3.8,,30.0,26.0,1014.75,,16.7,No,No
,,22.0,61.0,,,3.6,No,No
,,43.0,45.0,1016.35,,14.2,No,No
3.8,6.6,48.0,71.0,1006.35,5.0,22.0,No,No
7.8,12.0,31.0,23.0,1021.25,7.0,28.1,No,No
,,28.0,41.0,,,18.6,No,No
5.0,11.6,35.0,58.0,1019.75,2.0,19.0,No,No
12.8,10.7,46.0,27.0,1016.0999999999999,1.0,21.4,No,No
,,54.0,60.0,1021.0,,19.7,No,No
0.8,2.7,28.0,62.0,996.5,7.0,12.8,No,No
8.0,10.0,,40.0,1011.9000000000001,6.0,31.8,No,No
4.4,11.1,46.0,41.0,1011.6,,23.7,No,No
,7.2,54.0,70.0,1021.55,8.0,16.1,No,No
,,31.0,24.0,1022.8,,24.1,No,No
7.4,9.3,54.0,15.0,1010.75,6.0,30.0,No,No
,,54.0,57.0,1016.7,,19.9,No,No
,,24.0,37.0,1020.95,,25.4,No,No
2.2,3.4,26.0,42.0,1025.25,7.0,20.8,No,No
2.0,3.8,59.0,44.0,1010.3,7.0,21.7,No,No
,,24.0,52.0,1027.8,,17.7,No,No
,,11.0,53.0,,,13.6,No,No
10.0,,31.0,12.0,1012.3499999999999,1.0,35.3,No,No
1.2,7.5,30.0,41.0,1013.2,7.0,22.5,Yes,No
6.0,9.7,20.0,41.0,1020.6500000000001,2.0,19.9,No,No
6.2,12.8,37.0,51.0,1011.7,2.0,27.5,No,No
,,24.0,70.0,1015.6500000000001,,26.8,No,No
2.2,6.4,19.0,53.0,1029.75,7.0,16.8,No,No
6.2,8.6,46.0,63.0,1013.5,6.0,27.9,No,No
1.4,2.3,,51.0,1022.3499999999999,5.0,17.9,No,No
,8.9,50.0,44.0,1013.85,1.0,27.0,No,No
,,48.0,6.0,1011.2,,39.4,No,No
,,46.0,44.0,1016.0999999999999,,25.5,No,No
,,46.0,69.0,,,19.9,No,No
,,22.0,75.0,1031.35,7.0,10.9,No,No
9.0,12.5,44.0,35.0,1011.4,1.0,30.1,No,No
4.4,9.4,54.0,50.0,1017.3,2.0,18.8,No,No
5.4,11.0,63.0,63.0,1017.1500000000001,0.0,23.2,No,No
1.2,2.0,39.0,81.0,1021.85,7.0,11.5,Yes,No
5.6,10.7,30.0,32.0,1011.8,5.0,31.0,No,No
4.8,10.4,24.0,19.0,1022.5999999999999,1.0,18.8,No,No
1.2,4.6,46.0,33.0,1023.95,7.0,17.0,No,No
,,30.0,44.0,1015.0,,22.3,No,No
4.2,7.2,89.0,51.0,1007.9,5.0,13.1,No,No
,,35.0,39.0,1011.3,,26.2,No,No
,,41.0,57.0,1022.5999999999999,,20.6,No,No
2.7,,50.0,39.0,1010.45,,18.8,No,No
9.6,11.2,22.0,15.0,1011.05,5.0,34.0,No,No
,,44.0,48.0,1012.5,1.0,25.8,Yes,No
,10.8,31.0,27.0,1016.3,1.0,29.8,No,No
,,24.0,47.0,1030.0500000000002,,17.7,No,No
,,,36.0,,1.0,22.0,No,No
,,31.0,53.0,1019.6,3.0,22.0,No,No
2.4,,30.0,43.0,1027.25,1.0,18.6,No,No
,,41.0,100.0,,,8.7,No,No
,,22.0,48.0,1023.2,,16.2,No,No
,,59.0,45.0,1010.2,,15.4,No,No
8.4,11.0,63.0,17.0,1011.85,2.0,32.7,No,No
,,19.0,53.0,1011.05,,23.8,No,No
,,22.0,53.0,1014.85,,21.9,No,No
,,,66.0,,6.0,19.5,Yes,No
8.4,7.8,61.0,22.0,1014.65,6.0,33.1,No,No
,,9.0,64.0,1019.8,,13.9,No,No
,,17.0,57.0,1021.15,,19.3,No,No
8.0,13.5,46.0,24.0,1014.2,1.0,25.4,No,No
2.6,8.4,33.0,49.0,1008.85,,16.7,Yes,No
,,41.0,78.0,1015.45,,23.0,No,No
,,57.0,29.0,1015.75,7.0,27.3,No,No
,,35.0,13.0,,,23.5,No,No
6.6,10.3,35.0,51.0,1009.35,6.0,30.9,No,No
,,63.0,65.0,,,13.3,No,No
3.2,8.4,41.0,49.0,1020.85,4.0,22.6,No,No
,,33.0,44.0,,,26.1,Yes,No
4.1,,33.0,68.0,1018.8,4.0,24.7,No,No
13.8,,65.0,34.0,1011.4,,33.6,No,No
3.2,8.3,33.0,,1022.7,,20.7,No,No
,,39.0,32.0,1004.0999999999999,,20.1,No,No
6.6,,37.0,26.0,1027.9,1.0,26.0,No,No
8.0,,35.0,40.0,1007.5999999999999,7.0,33.8,No,No
,,22.0,76.0,1023.15,1.0,21.8,No,No
7.4,11.1,33.0,41.0,1012.65,2.0,24.7,No,No
,,44.0,32.0,,,23.8,No,No
,,52.0,45.0,,,15.0,No,No
,,33.0,61.0,,,16.9,No,No
1.2,8.3,43.0,48.0,1014.25,6.0,26.5,No,No
,,46.0,83.0,1026.65,1.0,18.5,No,No
7.4,11.3,31.0,39.0,1018.4,2.0,23.7,No,No
1.2,6.1,39.0,59.0,1028.4499999999998,7.0,15.6,No,No
3.8,4.1,33.0,54.0,1023.75,5.0,12.6,No,No
9.6,7.3,37.0,48.0,1010.2,,16.9,Yes,No
,,41.0,46.0,1011.55,8.0,22.9,Yes,No
4.0,9.4,44.0,44.0,1021.15,,18.2,No,No
2.8,9.5,22.0,48.0,1019.9,7.0,22.0,No,No
12.0,12.5,35.0,8.0,1012.0,3.0,32.7,No,No
,,,55.0,,5.0,21.8,No,No
,,50.0,71.0,1011.0,,15.8,Yes,No
,,56.0,34.0,1006.4000000000001,,17.0,No,No
7.8,8.5,33.0,61.0,1009.45,7.0,21.8,No,No
3.4,12.4,39.0,29.0,1022.05,5.0,20.4,No,No
1.6,8.6,33.0,50.0,1018.6,3.0,17.5,Yes,No
,,26.0,63.0,1025.2,5.0,16.1,No,No
6.4,12.8,44.0,33.0,1009.6,2.0,29.9,No,No
,,43.0,68.0,,,14.5,No,No
,,26.0,45.0,1023.4,,19.3,No,No
,,,52.0,,4.0,20.0,No,No
,,31.0,76.0,1035.85,8.0,11.8,No,No
,9.1,50.0,48.0,1013.1,8.0,22.5,No,No
,,24.0,,1017.0,8.0,23.9,No,No
,,17.0,46.0,1023.8,3.0,25.6,No,No
,,31.0,100.0,1015.25,8.0,11.6,Yes,No
,,61.0,40.0,1010.9000000000001,,16.9,No,No
,9.8,63.0,41.0,1015.7,1.0,30.0,No,No
8.6,,35.0,35.0,1019.95,5.0,30.4,No,No
,,43.0,78.0,1016.95,8.0,15.0,No,No
,,50.0,43.0,994.8,,13.7,Yes,No
6.2,13.2,33.0,20.0,1017.05,,33.3,No,No
7.2,9.3,33.0,63.0,1010.1500000000001,4.0,28.8,No,No
,6.2,74.0,66.0,1008.9000000000001,,15.2,No,No
6.2,8.0,,66.0,1019.7,6.0,15.5,Yes,No
,,24.0,59.0,1024.85,,15.9,No,No
0.6,,17.0,62.0,1031.8000000000002,,15.2,Yes,No
,,26.0,82.0,1022.0999999999999,8.0,17.3,No,No
,,35.0,20.0,,,31.4,No,No
,,30.0,42.0,1016.1500000000001,,19.3,No,No
11.4,13.2,39.0,23.0,1013.05,0.0,31.3,No,No
,,39.0,51.0,1019.9,,24.5,No,No
0.6,6.8,44.0,49.0,1018.4,,16.4,No,No
8.8,11.9,28.0,43.0,1006.45,1.0,34.7,No,No
7.6,9.1,70.0,53.0,999.4000000000001,3.0,28.4,Yes,No
11.8,9.4,52.0,25.0,1012.55,2.0,35.5,No,No
1.4,5.6,50.0,72.0,1014.9000000000001,,13.7,Yes,No
,,22.0,75.0,1009.3499999999999,,27.5,Yes,No
5.2,11.4,,41.0,1019.7,1.0,17.4,No,No
1.6,8.5,59.0,64.0,1019.4,4.0,15.8,Yes,No
,,50.0,79.0,1010.25,,6.7,Yes,No
,,39.0,61.0,1019.5,,18.3,No,No
,,41.0,57.0,1025.9499999999998,,11.9,No,No
6.2,8.5,33.0,62.0,1019.55,,23.9,No,No
8.2,,41.0,34.0,1019.7,,24.3,No,No
4.0,4.7,48.0,50.0,1032.0500000000002,7.0,10.3,Yes,No
1.0,10.7,,,1027.5,,,Yes,No
